year,district,dem_votes,rep_votes,other_votes
2016,1,0,0,0
2016,2,0,0,0
2016,3,0,0,0
2016,4,0,0,0
2016,5,0,0,0
2016,6,0,0,0
2016,7,0,0,0
2016,8,0,0,0
2016,9,0,0,0
2016,10,0,0,0
2016,11,0,0,0
2016,12,0,0,0
2016,13,0,0,0
2016,14,0,0,0
2016,15,0,0,0
2016,16,0,0,0
2016,17,0,0,0
2016,18,0,0,0
2020,1,0,0,0
2020,2,0,0,0
2020,3,0,0,0
2020,4,0,0,0
2020,5,0,0,0
2020,6,0,0,0
2020,7,0,0,0
2020,8,0,0,0
2020,9,0,0,0
2020,10,0,0,0
2020,11,0,0,0
2020,12,0,0,0
2020,13,0,0,0
2020,14,0,0,0
2020,15,0,0,0
2020,16,0,0,0
2020,17,0,0,0
2020,18,0,0,0
